ind,PHASE,TOK,IP,BT,NEL,PLTH,RGEO,KAREA,EPS,MEFF,TAUTH,DATE,SHOT,TIME,AUXHEAT,CONFIG,WALMAT,DIVMAT,LIMMAT,Q95,POHM,AUXHEAT_ID,CONFIG_ID,WALMAT_ID,DIVMAT_ID,LIMMAT_ID
6,HGELM,ASDEX,-1.2177337195759732,0.7907275088988094,1.3321021320364637,0.6259384308664951,0.5270925962298626,-0.025522957231085892,-1.418446842813986,0.4054651081081644,-2.9759296462578115,19820622,5980,1.205,NB,DN,SS,TI2,NONE,4.563,68660.0,2,1,1,1,1
7,HGELM,ASDEX,-1.2201021862558197,0.7907275088988094,1.3174800451195308,0.7050757514252192,0.521171915820135,-0.027988036540168713,-1.4096043195658936,0.4054651081081644,-3.0155269008821706,19820622,5980,1.224,NB,DN,SS,TI2,NONE,4.671,22960.0,2,1,1,1,1
12,HSELM,ASDEX,-1.2136864965135752,0.7907275088988094,1.2267122912954254,0.1239859797809911,0.5265021031509983,-0.010555513939516587,-1.43210020548641,0.4054651081081644,-2.7527860949436014,19820622,5982,1.188,NB,DN,SS,TI2,NONE,4.275,0.0,2,1,1,1,1
13,HGELM,ASDEX,-1.2177337195759732,0.7907275088988094,1.328400382700988,0.31918073951115183,0.5265021031509983,-0.02593338202650443,-1.417368782684995,0.4054651081081644,-2.660546578458243,19820622,5982,1.216,NB,DN,SS,TI2,NONE,4.574,31630.0,2,1,1,1,1
14,HGELM,ASDEX,-1.2234954708148,0.7902738912906682,1.347293623770158,0.7095125346462096,0.521765563804325,-0.03138747324163273,-1.406799906027926,0.4054651081081644,-2.965979315404643,19820622,5982,1.244,NB,DN,SS,TI2,NONE,4.758,37030.0,2,1,1,1,1
19,HSELM,ASDEX,-1.214359897212423,0.7893660383004882,1.2128334327581325,0.2851789422336623,0.5229518035638313,-0.005816885321564851,-1.4335090035902258,0.4054651081081644,-3.024955132230894,19820622,5996,1.183,NB,DN,SS,TI2,NONE,4.216,38410.0,2,1,1,1,1
20,HGELM,ASDEX,-1.2163828244026176,0.7902738912906682,1.229055584693399,0.5134222496132566,0.521765563804325,-0.01379471102218926,-1.4241533905094887,0.4054651081081644,-3.076508583581279,19820622,5996,1.209,NB,DN,SS,TI2,NONE,4.373,7051.0,2,1,1,1,1
21,HGELM,ASDEX,-1.2211189631609065,0.7902738912906682,1.236923904465622,0.7090205297162355,0.5199835615507563,-0.016129381929883644,-1.4204009442686212,0.4054651081081644,-3.20571283834192,19820622,5996,1.234,NB,DN,SS,TI2,NONE,4.439,17020.0,2,1,1,1,1
26,HSELM,ASDEX,-1.214359897212423,0.7907275088988094,1.2172838183856083,0.4523486940070147,0.5241366378256631,-0.005917473764037623,-1.4346938378520575,0.4054651081081644,-3.162495491432093,19820622,6002,1.183,NB,DN,SS,TI2,NONE,4.213,40010.0,2,1,1,1,1
28,HGELM,ASDEX,-1.214359897212423,0.7902738912906682,1.2691985892436433,0.7075430608436777,0.5241366378256631,-0.01836765735818493,-1.4223419021534331,0.4054651081081644,-3.162495491432093,19820622,6002,1.214,NB,DN,SS,TI2,NONE,4.429,9616.0,2,1,1,1,1
