TAUTH,IP,BT,NEL,PLTH,RGEO,KAREA,EPS,MEFF,TOK,SHOT,DATE,TIME,ind
-2.504089469204774,-0.22539608636750366,0.4173936789734382,1.8849461839541723,1.5814498758939317,0.5193888544264785,0.49792899256947937,-1.2376487358014994,0.6931471805599453,AUG,8014,19960502,2.42,1551
-2.6780060797538336,-0.22564668153232836,0.41673470036639515,1.8614409924288633,1.8517564431343512,0.520577915208669,0.501100725860906,-1.2429479544455175,0.6931471805599453,AUG,8014,19960502,2.7,1552
-2.214574215671332,-0.0026033858701149278,0.9186878564738765,1.7490259266411539,1.5011843269938463,0.5086232002107907,0.4619099574214902,-1.206581937767958,0.6931471805599453,AUG,8023,19960503,2.5,1553
-2.3568301078464415,-0.002703651574314823,0.9182887345368281,1.8258387828809177,1.8201849434117587,0.5098251234324072,0.4624872519230341,-1.2110044756896168,0.6931471805599453,AUG,8023,19960503,3.4,1554
-2.396236649075501,-0.0014009809156282115,0.9182887345368281,1.8221270058444512,1.8601966307812834,0.5092243423990168,0.4602937972828909,-1.2093961378959266,0.6931471805599453,AUG,8025,19960503,2.0,1555
-2.0402208285265546,-0.22514555398488284,0.7040871205982796,1.7822140563845235,0.7993073763883358,0.5056120567131032,0.4765438453305172,-1.2086075733278627,0.6931471805599453,AUG,8095,19960509,3.0,1585
-2.050271164380056,-0.22527081233038385,0.7040871205982796,1.7768150218422323,0.8006553882752305,0.5056120567131032,0.4785646600723542,-1.2096179806079244,0.6931471805599453,AUG,8096,19960509,3.0,1589
-2.280823601212533,-0.2241440516477934,0.7016112589720747,1.69120221423674,1.2199445738356347,0.5062150112083075,0.47623507961708406,-1.212852781950752,0.6931471805599453,AUG,8120,19960514,2.5,1600
-1.9995219185039625,-0.22539608636750366,0.41475515501525706,1.9555775544574499,0.9828272556743992,0.5092243423990168,0.48820761419782294,-1.2225742302764815,0.6931471805599453,AUG,8135,19960515,2.9,1617
-2.0417604747121474,-0.0005001250416823539,0.7509442792861621,2.0340518393810254,1.5175418977295634,0.501381164937991,0.4679231603203138,-1.1712025201944396,0.6931471805599453,AUG,8195,19960522,2.7,1662
-2.0786418615092717,-0.0005001250416823539,0.7509442792861621,2.046272480288322,1.5002924651733023,0.5001690435774618,0.46601977924281324,-1.1655065234981399,0.6931471805599453,AUG,8196,19960522,3.5,1667
-2.4282617010820475,-0.0005001250416823539,0.7481087386339197,2.184814557259538,1.859729595667322,0.5128236264286637,0.46345212744862624,-1.2378743560016172,0.6931471805599453,AUG,8454,19960712,2.25,1697
-2.4481890668528377,-0.22451949749414088,0.9234649356221554,1.814987595347262,0.9608816152020302,0.4885800148186709,0.43730737891970206,-1.1515860384666294,0.6931471805599453,AUG,9825,19980120,2.0,1730
-2.241489993634235,-0.22214405098112627,0.7462139014966376,1.7930919144618336,1.4459773632810642,0.49286529838899784,0.4406993988480294,-1.1742815560732445,0.6931471805599453,AUG,9861,19980123,2.0,1731
-2.279845606024556,-0.22201918365250053,0.7462139014966376,1.7779985539780179,1.4593124538564626,0.49225423818055525,0.440469013524195,-1.1716957716843885,0.6931471805599453,AUG,9862,19980123,2.0,1732
-2.441732224404204,-0.22364367635589208,0.7443154671343447,1.8340204279425643,1.8232581362874258,0.5019866750987863,0.4496355511123593,-1.2114665102796291,0.6931471805599453,AUG,9863,19980123,3.0,1733
-2.15761932274386,-0.22052199060925828,0.7462139014966376,1.7984040119467235,1.374727724748425,0.49103099643781106,0.4322151734220703,-1.1645716473588381,0.6931471805599453,AUG,9865,19980123,1.9,1734
-1.9505207616129967,0.18315454309784637,0.8432898389896647,2.001344855943414,1.5368672195992648,0.5050087384444258,0.47788619875315014,-1.2076003778323707,0.6931471805599453,AUG,9891,19980127,2.1,1735
-1.8183088044615916,0.18315454309784637,0.8437200390393197,2.0210176215421187,1.3782621894226263,0.5050087384444258,0.4766751811195211,-1.2069948676715756,0.6931471805599453,AUG,9892,19980127,2.1,1736
-2.0533840073605463,0.1823215567939546,1.1065804583172865,2.016901023204938,1.5288784045756834,0.4995624314872799,0.46007372805888036,-1.1909112301058458,0.6931471805599453,AUG,9937,19980203,3.5,1737
-2.5016459737922982,0.001998002662673058,0.9258449446789667,2.052327249188264,2.063820160776879,0.49591501103023644,0.45641305053525755,-1.1886622715688548,0.6931471805599453,AUG,9954,19980205,1.9,1738
-2.0754495204102983,-0.21741001946644922,0.698632110790515,1.7479817218821594,0.8969040180739649,0.4934759854308776,0.4572833306967963,-1.1784566033244295,0.6931471805599453,AUG,10008,19980227,1.7,1741
-2.3492575011924766,-0.22489508435301614,0.698632110790515,1.8569227951344682,0.9547419182484077,0.49591501103023644,0.4601544347781108,-1.1858673006936624,0.6931471805599453,AUG,10008,19980227,2.2,1742
-2.563041179192235,-0.2133169904964742,0.7050757514252192,1.7599247457080365,1.7227665977411035,0.4934759854308776,0.4428014186845,-1.1746945951255492,0.6931471805599453,AUG,10010,19980227,1.55,1747
-2.0690952496256916,0.1823215567939546,1.1085626195212777,1.6610811455859387,1.3535128715955111,0.504405055963068,0.4782558793239763,-1.2088154288017239,0.6931471805599453,AUG,10042,19980305,2.35,1753
-2.145581344184381,0.18315454309784637,1.1072416153661642,1.749895265129356,1.7175745710386783,0.5050087384444258,0.47740977342866014,-1.2112411585530265,0.6931471805599453,AUG,10042,19980305,3.35,1754
-1.8585405029184061,0.18315454309784637,1.1082325320451003,1.7188302892052973,1.3150668518315227,0.5025918188388871,0.46610126240711947,-1.1965393195696017,0.6931471805599453,AUG,10045,19980305,3.35,1755
